condition,weight,volume,description,id
2,2,2,"Solid condition adult-sized mountain bike! Easy to ride and would fit anyone from 5'4""-5'10."" Has an adjustable seat, kickstand, and front and rear reflectors.",85
3,1,1,Light-weight and strong bike pump. It also comes with the needle attachments needed to inflate a basket ball and things like that. The base folds up so it can fit in a back pack too. Great condition!,86
3,2,2,"IKEA swivel, adjustable desk chair. Great condition and comfy!",87
3,3,3,"This is a Black and Decker AC that also has settings for a fan, heater, and dehumidifier! It is very easy to install in a window and also comes with a remote.",93
3,2,2,Excellent condition armless swivel desk chair with mesh back. It's not super fancy but it's comfy to sit on all day and the height is adjustable.,126
3,1,1,Two sets of 10 hangers. There's a set of white plastic ones and then another set of skinny felt ones that help keep clothes from slipping. Great condition!,127
3,1,1,"Sturdy 8"" bed risers (set of 4). In good condition and they do the trick!",128
3,1,2,Long yoga mat that's about 1 cm thick. There are some scuffs on it but it's in solid condition and does the trick.,129
3,1,1,"Great condition Bell bike lock. It is a rope with loops at either end that you lock together with the key u-lock. It's not as hefty as one of those solid steal U-locks but it is still secure feeling. Comes with the key, of course",130
3,1,1,Yellow light copper fairy lights strand. About 33ft. This kind doesn't have a remote because it only has a solid light setting and doesn't flash or change color. It connects to a wall outlet for power.,131
3,2,3,"Twin XL memory foam mattress topper used once (great condition), makes dorm mattresses so much more comfortable!  Used inside of a mattress protector so no skin contact.",132
3,1,1,"Great condition Columbia undergrad graduation cap and gown. Sized for anyone between 5'6"" - 5'8"". We'll be sure to steam it to make sure it is wrinkle-free and ready for grad photos or any other purpose you need!",133
3,2,1,"Steel U-lock and 4 ft cable that can be used secure things like bikes, scooters, etc. Key operated.",134
3,3,1,20-lbs hex dumbbells. Solid steel construction. Feels sturdy and is great for at home workouts! 20-lbs a little too heavy? We also have a listing available for 15-lbs weights! Either way we're more than happy to bring the weights right to you!,136
3,1,1,"Excellent condition compact Dell laptop. Runs Windows 10 and has the Microsoft Suite products installed. Not the most powerful laptop in the world, but it works well and does the job. Has 2 USB ports, 1 HDMI port, and headphone jack.",137
3,2,2,"Great condition small mini-fridge. It's about 1.7 cu ft with approx dimensions of 18.5 x 17.52 x 19.72 inches. It also has a little interior freezer compartment that gets extra cold, great for icepacks and such but not so great for keeping things like ice cream really frozen.",138
3,1,2,Great condition floor lamp! Stands about 6ft tall and has two bulbs that can be separately controlled. Does a good job at brightening up a room! Included light bulbs give off a warm light and not that blue LED kind.,140
3,2,2,"Awesome Lasko oscillating tower fan! Has 3 speed modes, an oscillation mode, and various timer settings. It stands 42.5” tall with a small 13” x 13” footprint. Strong enough to circulate air across a large room. It operates quietly and will do a great job of keeping you cool!!",141
3,1,1,Great condition space heater. Does a solid job of warming a small/medium sized room. Heat level can be adjusted too. Safety mechanism shuts the heater off if it somehow falls over or if it is not on level ground.,142
3,1,1,33 ft of LED fairy lights! They can either be plugged into the wall directly or you could plug the USB into a computer or external battery pack if desired. The remote allows you to cycle through a bunch of different colors and different light modes. It's can be easily hung using command hooks or tape.,143
3,1,2,"Max rental period: 2 weeks. This game bundle comes with Hive, Patchwork, Blokus Duo, Jaipur, and Air Land and Sea. These are some great games that a perfect for two players!  Rent them and play one, all of them, or as many as you'd like!   Once ordered and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about Hex & Co. here: https://hexnyc.com/.",144
3,1,2,"Max rental period: 2 weeks. This game bundle comes with two games, Everdell and Unmatched. These are award-winning games that are perfect for small groups!   Once ordered and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about Hex & Co. here: https://hexnyc.com/.  More about the games: - Everdell is a streamlined worker placement game that features a detailed world realized through stunning artwork. Utilizing a tableau-building mechanic, players will work to build a city of critters and constructions. Everdell is easy to learn, yet offers satisfying strategic depth and endless replayability. - Unmatched is a fast-paced game of tactical Combat between unlikely opponents. Pick your favorite hero, choose a location, and use your hero’s unique deck and abilities to win the day. You can mix up heroes and maps from any set. Features the innovative art of Oliver Barrett.",145
3,1,2,"Max rental period: 2 weeks. This game bundle comes with two games, Lords Of Water Deep and Wingspan. Perfect games for small groups! Once ordered and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about Hex & Co. here: https://hexnyc.com/. More about the games: - This immersive game casts players as Lords of Waterdeep who hire adventurers to complete quests. Game play: 1 hour. Perfect for 2 to 5 players. - In Wingspan, each bird extends a chain of powerful combinations in each of three unique habitats, as you build your engine to gain food, lay eggs, and draw from 170 uniquely and beautifully illustrated bird cards. For 1-5 players. Plays in 40-70 minutes",146
3,1,1,"Small but powerful Honeywell TurboForce fan. Has 3 speeds & a 90 degree pivoting head. This quiet fan is compact and perfect for placement on the floor, but powerful enough to provide comfortable cooling in small to medium rooms. Dimensions: 14.4 x 8.1 x 15.2 inches",147
2,1,2,Solid condition vertical rectangular mirror with a black frame! It doesn't have hooks but it's light enough that a couple velcro command strips can be used to stick it on a wall or door. Dimensions: 13 inch x 49 inch,148
3,1,1,Set of 2 mini cupcake pans that each make 12 mini cupcakes/muffins! Perfect for any baking needs!,151
2,2,2,"Basic cookware set includes a non-stick 8"" frying pan, 9x13"" baking pan, a colander, a 2-Quart pot, a flat cooking spatula, and a cooking spoon. The set is in solid condition and would cover pretty much all of your cooking needs!",152
3,2,2,"Set of 3 large plates, 3 small plates, 3 small bowls, 4 spoons, 4 butter knives, 4 forks, 1 large kitchen knife, 1 small kitchen knife, 1 small serrated knife. Not super fancy but it's a solid set and does the job!",153
3,1,1,"Black & Decker 10-speed blender. Comes with the 5-cup glass blender pitcher. Dishwasher safe. Dimensions: 8.5 L"" x 9.92"" W x 13.39"" H.  Pretty strong blender for its size. Certainly gets the job done!",154
3,2,2,"Ikea brand dark brown side table / night stand with 2 deep drawers. It's in excellent condition with only a few scratches and is quite sturdy. Dimensions are approx 16"" x 19"" x 21.5""",155
3,1,2,**Max rental time: 2 weeks** A great condition game with all parts included! This is a really fun and different version of a game we all know and love.,156
2,1,2,Great condition fan perfect for hot summer days or when the radiator is just way too much to handle!,157
2,1,1,"Includes a 1/4, 1/3, and 1 cup. All clean and have not been used often!",158
3,1,1,"Includes 1/4 tsp, 1/2 tsp, 1 tsp, 1/2 tbsp, and 1 tbsp. Also has measurements labeled in cc. Five great-condition measuring spoons for all your cooking, baking, and other needs!",159
3,2,1,**Max Rental: 2 weeks** A very well-maintained original base game with additional cards from the 2017 promotional CAH Saves America pack in the box.,160
3,1,1,"**Max Rental: 2 Weeks** A set of 28 dominoes, including a double six. All in great condition!",161
3,1,2,"A new, plastic utensil organizer. Comes with slots shaped to match different utensil shapes!",162
2,2,2,"Only used this comforter for one school year; it's been in this plastic bag since! Has a neutral gray side and a striped side, so it's completely reversible for whatever vibe you're feeling.",163
2,2,2,"Only used for one academic year, so it's been kept in this plastic carrier ever since!",164
3,1,1,"**Max Rental: 2 weeks** This game has only been used a few times and is in perfect condition! Is a slightly updated version of the original, with new moves.",165
3,2,3,"Large (3.3 cu ft) Galanz-brand mini-fridge! Has a separate freezer compartment and a large refrigerator section with various shelves. Approx. dimensions are 18.50” W x 19.37” D x 32.95” H It's in great condition and keeps everything cold! When we deliver, you can use our moving cart to easily wheel the fridge up to your room/apartment!",166
3,1,1,"Excellent condition mini projector comes with tri-pod, remote, and hdmi cord. Works great in projecting a movie/tv as it's rated for 1080p. The projector has 2 USB ports and HDMI, AV, VGA, SD Card ports, which allows you to use it with Laptops, PCs, TV Box, TV Stick, ChromeBook, Tablets, Blue-ray DVD player, SD Card, USB Flash Drive, Smartphones (smartphone to HDMI Dongle not included).  Specs:  Brightness: 3800 Lumen, Contrast Ratio: 2000: 1, Aspect Ratio: 4: 3/16: 9, Projection Distance: 1.2 - 5 Meter, Projection Size: 32 - 176 Inch",167
2,2,2,"Solid small mini-fridge. It's about 1.7 cu ft with approx dimensions of 18.5 x 17.52 x 19.72 inches. It also has a little interior freezer compartment that gets extra cold, great for icepacks and such but not so great for keeping things like ice cream frozen really solid. It has some scratches but it functions well and can keep things cold! We'll have a cart with us at drop-off that you can use to bring the fridge up to your room/apt.",170
3,2,1,New condition 15lbs dumbbell weights pair! Rubber encased steel construction. Ignite brand. Super solid for at-home workouts!,172
3,2,2,"A solid basic cookware set includes a non-stick 8"" frying pan, a 9"" saute pan, a 9x13"" baking pan, a 4-Quart pot, a flat cooking spatula, and a cooking spoon. The set is in solid condition and would cover pretty much all of your cooking needs!",173
3,1,1,"A basic cookware set that includes a 4-quart pot, a small 8"" non-stick frying pan and two cooking utensils. All in excellent condition. Best suitable for the cooking needs of 1-2 people.",174
3,1,1,"Awesome little mini-projector that works great for video/tv. You'd probably want a more heavy duty one though if you need to project high res presentations/powerpoint/spreadsheets.  VANKYO-brand Leisure 3 model. Comes with a case, HDMI Cable (5ft), Power Cable, VGA Cable, 3-in-1 AV Cable, and Remote Controller. Works with TV Sticks, HDMI, VGA, TF, AV, microSD, and USB.  Specs --> Contrast: 2000:1, HD 1080P, Keystone Correction: 15 degrees, Built-in Stereo Speaker, Double high power silent turbo fans, Aspect Ration:4:3\16:9\auto, Projection size: 33-170 inch. Dimensions --> 7.9 x 5.9 x 3.1 inch, 2.1 lbs    Note: The sound from the projector speaker is pretty good but you can get better sound by using the aux port (headphone jack) on the projector and plug to an external speaker. Also, with most projectors, you have to turn off Dolby Digital from your device to have the sound work. Lastly, changing the sound source on your connected device to STEREO or PCM helps with sound quality too.",175
3,1,1,"Great condition step stool. It's 15"" tall so it gives you a good boost in height and it also folds so that it doesn't take up much room. Feels very sturdy and is rated up to 300lbs of weight.",178
2,1,1,"Full bartending tool set. Includes Boston Shaker tins, a Hawthorne strainer, wooden muddler, mixing spoon, 3 speed-pour tops and a jigger that measures 1.5oz and 0.75oz. Perfect for your home-mixology or professional bartending needs!",179
2,1,1,Standard desk lamp with adjustable head. Pretty bright and comes with a LED lightbulb!,180
3,3,3,"Large (3.3 cu ft) Arctic King brand mini-fridge! Has a separate freezer compartment and a large refrigerator section with various shelves. Dimensions are about 18.50” W x 19.37” D x 32.95” H. It's in great condition and keeps everything cold! When we deliver, you can use our moving cart to easily wheel the fridge up to your room/apartment!",181
2,2,2,"Solid small mini-fridge. It's about 1.7 cu ft with approx dimensions of 18.5 x 17.52 x 19.72 inches. It also has a little interior freezer compartment that gets extra cold, great for icepacks and such but not so great for keeping things like ice cream frozen really solid. Note that it has some scratches and wear but it functions well and can keep things cold! We'll have a cart with us at drop-off that you can use to bring the fridge up to your room/apt.",182
3,2,3,"This is a comfy and lightweight chair, so it's easy to maneuver. In great condition with no scratches or tears.",183
3,2,3,This is a comfy and lightweight chair in great condition with no tears or scratches!,184
2,1,1,"Set of four wooden kitchen utensils. Slightly used and stained, but in great condition for your cooking needs :)",185
3,1,1,A set of kitchen utensils (a pair of metal tongs and a spatula) for all your cooking needs :),186
2,2,2,"An 8.5 in. black, nonstick pan and a 12 in. green porcelain enamel pan that both work perfectly! Great range of sizes for all you might need to cook.",187
3,1,2,A like-new shower organizer with three levels and four hooks. It also has a great plastic grip at the top to make sure the organizer stays in place.,188
2,2,1,Solid condition 10lbs dumbbell weights. They are rubber encased and are great for any at-home workouts!,189
3,1,1,"34oz (1L) glass pour over coffee maker. It comes with the filter basket, a coffee scoop and a plug that makes it easier to pour from. The cork band around the center also makes it easier to hold even with hot coffee.   Makes a great cup of joe!",190
3,1,1,"34oz (1L) glass pour over coffee maker. It comes with the filter basket, a coffee scoop and a plug that makes it easier to pour from. The cork band around the center also makes it easier to hold even with hot coffee.   Makes a great cup of joe!",191
3,1,1,"Essentially brand new Hamilton Beach coffee grinder. Has about a 4oz chamber for beans and the electric cord winds up into the base, making it super easy to store!",192
2,2,2,"Great condition 1.1 cu.ft. microwave! 1000 watts, Sharp brand, Carousel model with a 11.2"" turntable plate. Dimensions: 14.8 x 20.3 x 12 inches. Pretty much brand new besides a spot with chipped paint on the top surface. The display is green LED that also functions as a clock/timer.",193
2,2,2,Great condition desk chair with arms! The chair swivels and the height can be adjusted. Pretty comfortable and it feels really sturdy too!,195
2,1,1,3-tier small side table / night stand. It measures about 2 ft tall and is in solid condition besides one of the bottom corners that is slightly cracked and a couple of surface scratches. Plastic and particle board construction so it's not the fanciest piece of furniture out there but its light and handy as a little table.,196
3,2,2,Good condition Sunbeam microwave. There is slight wear on a few of the buttons but it works well and overall is a solid microwave!,197
2,2,2,"Excellent condition Amazon Basics 700W microwave. Has quick preset cook modes, a timer, and is Alexa-enabled. Dims: 17.3” x 10.1” x 14.1”.",198
3,1,1,Excellent condition Amazon Echo Dot 3rd Generation. Pretty easy to set up and pair it to your WIFI network. Has a range of voice assistant functionalities like playing podcasts/news and also doubles as a solid bluetooth speaker.,199
2,1,1,A bundle of 20 hangers of slightly different forms and colors.  If you're not super picky about having uniform looking hangers then this would work great for you!,200
2,1,1,"Good condition swiffer mop. It had a few scratches and slight wear but it works great and does what it's supposed to do. Note that it doesn't come with any of the swiffer cleaning pads so you might need to pick some up from a hardware store, or order online.",201
3,1,1,"Nederlands in actie methode NT2 by Berna de Boer, Margaret van der Kamp, Birgit Lijmback. Excellent condition Dutch textbook that is not written in. Pages are still crisp!  ISBN 978 90 464 0298, NUR 624",202
3,2,2,"Excellent condition Whirlpool Minifridge! Has a little internal freezer compartment too. 2.7 cuft volume. Dims: 24.69"" x 19.13"" x 19.69""",203
3,1,1,Great condition 2-sided makeup mirror. One side has a 3x magnification and the other is a regular mirror. It also can rotate vertically which is helpful. Works super well!!,204
3,3,1,"Super solid 20lbs dumbbell weights! Steel and rubber construction that feels sturdy. Great for all sorts of at home work outs. Best part, we bring them right to you!",205
3,1,1,20 plastic hangers! They work as intended. Great condition.,207
2,1,2,"Super solid frying pan set! Comes with a spatula, a 9” non-stick pan, and a 11” non-stick pan. Both pans are T-fal brand. Great size for cooking for 2-4 people. There’s slight ware and a couple small scratches but the T-fal brand is know for its quality so these will definitely hold up well.",208
3,1,1,20 pack of black plastic hangers! They work great and are all uniform!,209
3,1,2,"Almost brand new VIZIO smart TV. 40” screen at 1080p HD resolution. It comes with a remote and has HDMI input options. It can access a wide range of apps like Netflix, Hulu, etc.  Also is Chromecast enabled and if you download the VIZIO SmartCast Mobile app, you should be able to stream from your phone too!",210
3,1,2,5ft hanging door mirror! Excellent full length mirror can either be attached to the door or placed up against a wall.,211
3,2,2,Excellent condition 0.7 cuFt Westinghouse microwave. 700W and dimensions of 10.3” x 17.8” x 14”. Works great!!,212
3,2,2,"Excellent condition Insignia mini-fridge! Has a glass shelf and a freezer section that keeps food extra cold. 2.6 CuFt, dims: 27.5"" x 19"" x 21"". We'll have a cart with us at drop-off to make it easier to move too!",213
3,1,1,"Excellent condition and bright LED desk lamp. The light color is a nice yellow tint and the light head can spin and is slightly bendable. It plugs in with a USB outlet plug but it doesn’t come with the USB to wall connector. You can either connect power it with a laptop, battery pack, or use a spare USB outlet connector. It measures about 18” tall with a base that’s about 7” wide. Would recommend!",214
3,1,1,"Nature Bright Sun Therapy Light! Has a built in timer and is a 10,000 LUX light. Light therapy often consists of 30 min to 2 hour daily sessions sitting at least 2 ft away. Starting off with short 15 min increments might also be a good first site. Would definitely recommend researching the best light therapy methods and routines yourself to make sure it works best for you. It emits 10,000 Lux light and 17,000 kelvin UV-free light that replicates the light produced by a blue sky. Dims: 9” x 6” x 13”",215
3,2,1,Like-new rubberized 8lbs dumbbell weights. Perfect for at-home workouts!,216
3,1,1,Solid silver desk lamp! Comes with lightbulb. Works great! ⚡️,217
3,1,1,"Excellent condition Columbia undergrad graduation cap and gown that fits people 5’3”-5’8”. Steamed and clean, ready to go for grad photos or any other purpose you need!",218
3,1,1,Really great columbia undergrad graduation gown that fits people 5’5”-5’8”!! Steamed and clean and ready to go for any of your graduation needs:),219
3,1,1,Excellent condition garment steamer! Works super well and is very compact. Holds about 130ml of water and is handy for everyday needs yet small enough to pack in a suitcase if you’re flying out for an interview or wedding. Dims: 3.7” x 8.8” x 6.2”. Voltage: 110V.,220
3,1,1,"Excellent condition toaster oven! Large enough to fit 4 pieces of bread at once. Can be used to bake, broil, and toast and heat up to 450 degrees F. It’s pretty compact with dims: 11” x 9” x 15.5”. Caution should be taken to keep other items away from the toaster oven’s surface while powered on.",221
3,1,1,"Cap and Gown for Columbia Undergrads! Practically new and has only been worn a couple of times. No stains, no tears, it’s in great condition! And I’ll obviously iron and wash before your rental starts",222
3,1,1,Really great columbia undergrad graduation gown that fits people 5’5”-5’8”!! Steamed and clean and ready to go for any of your graduation needs:),223
3,1,1,Stove top griddle!,224
3,1,1,Hangers!,225
3,2,1,Excellent condition rubber-encased 5lbs dumbbell weights! Easy to grip and perfect for at home workouts!,226
3,2,1,"A high quality and power blender with 550 watts of power, stainless steel blades, and 6 cup glass jug with measurement markings on the side. The lid also comes with a 1 oz. measuring cup insert for drizzling in oil or easy mixed drinks!",227
3,1,1,Great condition 5lbs dumbbell weights. There rubber-coated neoprene weights are easy to grip and make for an awesome at-home work out.,228
3,1,1,Great condition 3lbs dumbbell weights. There rubber-coated neoprene weights are easy to grip and make for an awesome at-home work out.,229
